% Measurements of a DFIG system - provided by Prof. Erlich
% t,V_T(pu),angle(rad),angle(°),P_e(pu),Q_e(pu),IPA_r,IQA_r
-0.012,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.011,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.01,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.009,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.008,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.007,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.006,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.005,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.004,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.003,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.002,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
-0.001,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.001,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.002,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.003,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.004,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.005,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.006,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.007,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.008,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.009,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.01,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
