% Lin-ZIM System
% X = 0.2089, X' = 0.0446, T_0 = 0.0963, M = 0.0139, G_s = 4.1358, B_s = 2.8004, E_0 = 1.0750, δ_0 = -0.3689
% x0 = [1.0750, -0.3689, 364.381]
% u_0 = 1
% t, ΔP, ΔQ, ΔV
0.037,-99.72049233431908,-65.55905658969311,0.0165
0.038,-98.89140148056799,-65.52878853203913,0.0165
0.039,-97.92397851580516,-65.41934306253232,0.0165
0.04,-96.82519109178043,-65.23261210317176,0.0165
0.041,-95.60195292159476,-64.97059900626459,0.0165
0.042,-94.2611140624995,-64.6354083397456,0.0165
0.043,-92.80945171458015,-64.22923601195902,0.0165
0.044,-91.25366152908819,-63.754359734857395,0.0165
0.045,-89.60034941961285,-63.21312982419986,0.0165
0.046,-87.85602386874798,-62.607960334969995,0.0165
0.047,-86.02708872240561,-61.941320529882596,0.0165
0.048,-84.11983646345601,-61.215726678512254,0.0165
0.049,-82.14044195593603,-60.43373418425042,0.0165
0.05,-80.09495665065812,-59.59793003598641,0.0165
0.051,-77.98930324267742,-58.71092558110802,0.0165
0.052,-75.82927077072728,-57.77534961613203,0.0165
0.053,-73.62051014841684,-56.793841791002045,0.0165
0.054,-71.36853011669837,-55.76904632283216,0.0165
0.055,-69.07869360685038,-54.703606014629365,0.0165
0.056,-66.75621450299495,-53.60015657429526,0.0165
0.057,-64.40615479296017,-52.461321228989355,0.0165
0.058,-62.0334220961227,-51.289705629730754,0.0165
0.059,-59.64276755671301,-50.08789304092366,0.0165
0.06,-57.23878409093716,-48.85843980931315,0.0165
0.061,-54.825904976166846,-47.603871106713086,0.0165
0.062,-52.408402770368255,-46.32667694069536,0.0165
0.063,-49.99038854988293,-45.029308427290445,0.0165
0.064,-47.575811453637314,-43.71417431962325,0.0165
0.065,-45.16845852184274,-42.3836377862933,0.0165
0.066,-42.77195481725165,-41.04001343320768,0.0165
0.067,-40.389763817061,-39.68556456248498,0.0165
0.068,-38.025188063594975,-38.322500661970636,0.0165
0.069,-35.68137006195979,-36.952975118838815,0.0165
0.07,-33.36129341294048,-35.579083150700285,0.0165
0.071,-31.06778416950228,-34.202859947592316,0.0165
0.072,-28.803512405366995,-32.82627901819433,0.0165
0.07299999999999998,-26.570993984258408,-31.451250733589344,0.0165
0.07399999999999998,-24.372592518546238,-30.07962106187997,0.0165
0.07499999999999998,-22.210521506167986,-28.713170486964675,0.0165
0.076,-20.086846634869087,-27.353613104787087,0.0165
0.077,-18.00348824297513,-26.002595890387518,0.0165
0.078,-15.962223926092912,-24.66169812911061,0.0165
0.079,-13.964691279330884,-23.332431005356774,0.0165
0.08,-12.01239076483224,-22.016237342306724,0.0165
0.081,-10.106688694625026,-20.714491486097927,0.0165
0.082,-8.248820319012745,-19.42849932798891,0.0165
0.083,-6.439893010955248,-18.159498458111354,0.0165
0.084,-4.680889537122296,-16.90865844448108,0.0165
0.085,-2.972671406540989,-15.677081231016297,0.0165
0.086,-1.3159822880018424,-14.465801648395004,0.0165
0.087,0.28854851236295814,-13.275788031672816,0.0165
0.08799999999999998,1.840402521663344,-12.107942938677136,0.0165
0.08899999999999998,3.3391685270752873,-10.963103963293394,0.0165
0.08999999999999998,4.784538966724154,-9.842044637863678,0.0165
0.091,6.176306292185619,-8.745475419027066,0.0165
0.092,7.514359309899141,-7.6740447514441055,0.0165
0.09300000000000003,8.798679508524721,-6.628340203964748,0.0165
0.094,10.029337379008384,-5.608889672919456,0.0165
0.095,11.20648873385634,-4.61616264733676,0.0165
0.096,12.33037103185224,-3.6505715310169182,0.0165
0.097,13.401299714186921,-2.7124730165203395,0.0165
0.098,14.419664557706215,-1.8021695062607028,0.0165
0.099,15.385926050719366,-0.9199105760259628,0.0165
0.1,16.3006117965499,-0.06589447638537482,0.0165
0.101,17.164312949751675,0.7597303324227971,0.0165
0.102,17.977680689656438,1.5568636163906941,0.0165
0.103,18.74142273566535,2.325451778556579,0.0165
0.104,19.456299908446237,3.065486248726761,0.0165
0.105,20.12312274095091,3.7770018559539817,0.0165
0.106,20.742748142923233,4.46007518748248,0.0165
0.107,21.316076122328347,5.114822937730092,0.0165
0.108,21.844046566898072,5.741400250737936,0.0165
0.10900000000000001,22.327636088755696,6.339999059378956,0.0165
0.11,22.7678549348564,6.910846424477834,0.0165
0.111,23.165743965757585,7.454202876856928,0.0165
0.112,23.52237170501561,7.970360765185917,0.0165
0.113,23.838831461293584,8.459642612377042,0.0165
0.114,24.1162385250574,8.922399483133438,0.0165
0.115,24.355727441535713,9.359009365124969,0.0165
0.116,24.558449361423147,9.76987556613469,0.0165
0.117,24.725569470615255,10.155425129389394,0.0165
0.118,24.858264500078754,10.516107269159994,0.0165
0.119,24.957720316781074,10.85239182859176,0.0165
0.12,25.025129596429764,11.164767761600963,0.0165
0.121,25.061689578604494,11.453741640552936,0.0165
0.122,25.06859990470261,11.719836191317718,0.0165
0.123,25.04706053896302,11.963588857182861,0.0165
0.12400000000000003,24.998269772683475,12.185550392988748,0.0165
0.125,24.92342231160196,12.386283490740643,0.0165
0.126,24.823707446274888,12.566361437842424,0.0165
0.127,24.70030730515241,12.726366808991314,0.0165
0.128,24.554395189924968,12.866890192669375,0.0165
0.129,24.38713399259461,12.988528953067105,0.0165
0.13,24.199674693610042,13.091886028176994,0.0165
0.131,23.99315494029536,13.177568764700126,0.0165
0.132,23.768697704699484,13.24618779031729,0.0165
0.133,23.52741001989571,13.29835592378722,0.0165
0.134,23.270381793668896,13.33468712324899,0.0165
0.135,22.998684698441487,13.355795473022702,0.0165
0.13600000000000004,22.71337113620872,13.362294209123,0.0165
0.137,22.415473277177735,13.354794783623204,0.0165
0.138,22.106002170735003,13.333905967934221,0.0165
0.139,21.785946927301246,13.300232994991703,0.0165
0.14,21.456273969573413,13.254376740277284,0.0165
0.141,21.117926351597372,13.19693294153514,0.0165
0.142,20.771823144065458,13.128491456983344,0.0165
0.143,20.418858884187067,13.04963556176079,0.0165
0.144,20.059903088439608,12.96094128229473,0.0165
0.145,19.69579982647086,12.862976768220944,0.0165
0.146,19.327367354391445,12.756301701438563,0.0165
0.147,18.955397805668603,12.641466741834428,0.0165
0.148,18.5806569378086,12.519013009167216,0.0165
0.149,18.203883932995417,12.389471600560105,0.0165
0.15,17.825791250837597,12.253363143011581,0.0165
0.151,17.447064531362923,12.111197380297655,0.0165
0.152,17.068362546392276,11.96347279360514,0.0165
0.153,16.69031719741875,11.810676255204177,0.0165
0.154,16.313533558116628,11.653282714439708,0.0165
0.155,15.938589959606173,11.491754915295214,0.0165
0.156,15.566038116604862,11.326543144758052,0.0165
0.157,15.196403292603108,11.158085011194304,0.0165
0.158,14.830184502212948,10.986805251921556,0.0165
0.159,14.467854748851037,10.81311556915096,0.0165
0.16,14.109861295932905,10.637414493454958,0.0165
0.161,13.7566259697734,10.460087273903973,0.0165
0.162,13.40854549240835,10.281505794004637,0.0165
0.163,13.065991842574972,10.102028512562937,0.0165
0.164,12.729312643113007,9.922000428588648,0.0165
0.165,12.398831573074744,9.741753069352113,0.0165
0.166,12.07484880286041,9.561604500700737,0.0165
0.167,11.757641450724972,9.381859358740858,0.0165
0.168,11.447464059034026,9.202808901990103,0.0165
0.169,11.144549088678872,9.024731083106897,0.0165
0.17,10.849107430095364,8.8478906393062,0.0165
0.171,10.561328929366033,8.672539200574935,0.0165
0.172,10.281382927921788,8.498915414805875,0.0165
0.173,10.00941881439659,8.327245088975605,0.0165
0.174,9.745566587227014,8.15774134550011,0.0165
0.17499999999999996,9.489937426627645,7.990604792910657,0.0165
0.17599999999999996,9.242624274612982,7.826023710002853,0.0165
0.177,9.003702421777158,7.664174242622996,0.0165
0.178,8.773230099583381,7.5052206122680305,0.0165
0.179,8.55124907695662,7.349315335688467,0.0165
0.18,8.337785260014583,7.196599454697713,0.0165
0.181,8.132849293813994,7.047202775405752,0.0165
0.182,7.936437165031286,6.901244116110822,0.0165
0.183,7.748530804539029,6.758831563098671,0.0165
0.184,7.5690986888815806,6.620062733615819,0.0165
0.185,7.398096439695669,6.485025045300524,0.0165
0.186,7.235467420163651,6.353795991372959,0.0165
0.187,7.081143327628978,6.2264434209044115,0.0165
0.188,6.935044781545175,6.103025823503977,0.0165
0.189,6.797081905970754,5.98359261778028,0.0165
0.19,6.667154905863604,5.868184442955077,0.0165
0.191,6.5451546364688165,5.756833453025315,0.0165
0.192,6.430963165134033,5.649563612889951,0.0165
0.193,6.324454324925927,5.546390995877968,0.0165
0.194,6.22549425946044,5.447324082134154,0.0165
0.195,6.133941958397768,5.3523640573394875,0.0165
0.196,6.049649783090844,5.261505111263316,0.0165
0.197,5.97246398191318,5.1747347356648845,0.0165
0.198,5.902225194828192,5.0920340210820765,0.0165
0.199,5.83876894679787,5.013377952065612,0.0165
0.2,5.781926129663384,4.9387357004371015,0.0165
0.201,5.731523472164348,4.868070916169518,0.0165
0.202,5.687383997796627,4.801342015508627,0.0165
0.203,5.649327470240951,4.7385024659737205,0.0165
0.204,5.617170826126131,4.679501067895643,0.0165
0.205,5.5907285949212815,4.624282232169484,0.0165
0.206,5.569813305781159,4.572786253918521,0.0165
0.207,5.554235881197544,4.524949581784842,0.0165
0.208,5.543806017337552,4.480705082580742,0.0165
0.209,5.538332550976588,4.4399823010532895,0.0165
0.21,5.537623812959798,4.402707714532435,0.0165
0.211,5.54148796815088,4.368804982250705,0.0165
0.212,5.549733341851285,4.338195189139797,0.0165
0.213,5.562168732695958,4.3107970839263645,0.0165
0.214,5.578603712054096,4.286527311365729,0.0165
0.215,5.59884890998457,4.2653006384685055,0.0165
0.216,5.6227162878160755,4.247030174590787,0.0165
0.217,5.65001939744146,4.2316275852738805,0.0165
0.218,5.680573627434071,4.219003299734505,0.0165
0.219,5.714196436111623,4.209066711920743,0.0165
0.22,5.7507075716895795,4.201726375063174,0.0165
0.221,5.789929279681818,4.196890189664051,0.0165
0.222,5.831686497721128,4.194465584880652,0.0165
0.223,5.8758070379860365,4.194359693271456,0.0165
0.224,5.922121757433468,4.196479518886134,0.0165
0.225,5.970464716048936,4.200732098692007,0.0165
0.226,6.0206733233373635,4.20702465734094,0.0165
0.227,6.0725884732879996,4.21526475529151,0.0165
0.228,6.126054668056791,4.225360430311562,0.0165
0.229,6.180920130618246,4.2372203323962845,0.0165
0.23,6.237036906647145,4.250753852146329,0.0165
0.231,6.294260955897654,4.265871242659456,0.0165
0.232,6.352452233354096,4.28248373499788,0.0165
0.233,6.4114747604335,4.300503647301398,0.0165
0.234,6.471196686525233,4.31984448762422,0.0165
0.235,6.531490341157472,4.340421050580511,0.0165
0.236,6.592232277084218,4.362149507890512,0.0165
0.237,6.65330330458962,4.384947492925478,0.0165
0.238,6.714588517309026,4.408734179355528,0.0165
0.239,6.775977309868109,4.433430354010178,0.0165
0.24,6.837363387642814,4.458958484066305,0.0165
