% Pendulum System
% b = 0.1, l = 1, g = 9.8, m = 2.5
% x0 = [0, 0]
% t, theta, alpha, F
0.059,0.0028055656201006244,0.09373421650480425,4
0.06,0.0029006066401171065,0.0953021471395232,4
0.061,0.00299721475467437,0.09686907088859367,4
0.062,0.003095388944127657,0.098434972443573,4
0.063,0.003195128173532677,0.0999998365067478,4
0.064,0.0032964313926564645,0.10156364779128366,4
0.065,0.003399297535988378,0.10312639102137433,4
0.066,0.003503725522751259,0.10468805093239096,4
0.067,0.0036097142569127267,0.10624861227103108,4
0.068,0.003717262627196632,0.1078080597954676,4
0.069,0.003826369507094657,0.10936637827549768,4
0.07,0.003937033754878067,0.11092355249269137,4
0.071,0.004049254213609595,0.11247956724054024,4
0.072,0.004163029711155501,0.1140344073246058,4
0.07299999999999998,0.00427835906019776,0.11558805756266798,4
0.07399999999999998,0.004395241058246397,0.11714050278487305,4
0.07499999999999998,0.0045136744876519905,0.11869172783388207,4
0.076,0.004633658115618301,0.12024171756501854,4
0.077,0.004755190694215057,0.12179045684641637,4
0.078,0.004878270960390897,0.12333793055916757,4
0.079,0.005002897635986434,0.12488412359746985,4
0.08,0.005129069427747504,0.12642902086877375,4
0.081,0.005256785027338525,0.12797260729393042,4
0.082,0.005386043111356032,0.12951486780733826,4
0.083,0.005516842341342337,0.1310557873570903,4
0.084,0.005649181363799358,0.13259535090512092,4
0.085,0.005783058810202569,0.13413354342735254,4
0.086,0.00591847329701512,0.13567034991384222,4
0.087,0.006055423425702086,0.1372057553689282,4
0.08799999999999998,0.006193907782744883,0.13873974481137602,4
0.08899999999999998,0.006333924939655801,0.1402723032745248,4
0.08999999999999998,0.006475473452992714,0.14180341580643316,4
0.091,0.006618551864373906,0.143333067470025,4
0.092,0.006763158700493072,0.1448612433432354,4
0.09300000000000003,0.006909292473134444,0.14638792851915589,4
0.094,0.007056951679188064,0.1479131081061799,4
0.095,0.007206134800665216,0.1494367672281483,4
0.096,0.007356840304713989,0.15095889102449386,4
0.097,0.007509066643634991,0.15247946465038661,4
0.098,0.007662812254897209,0.1539984732768786,4
0.099,0.007818075561154002,0.15551590209104807,4
0.1,0.007974854970259267,0.15703173629614434,4
0.101,0.00813314887528371,0.1585459611117317,4
0.102,0.008292955654531288,0.1600585617738338,4
0.103,0.008454273671555788,0.1615695235350773,4
0.104,0.008617101275177563,0.1630788316648357,4
0.105,0.008781436799500377,0.1645864714493731,4
0.106,0.00894727856392843,0.1660924281919872,4
0.107,0.009114624873183503,0.167596687213153,4
0.108,0.009283474017322255,0.16909923385066547,4
0.10900000000000001,0.009453824271753675,0.17060005345978274,4
0.11,0.009625673897256638,0.17209913141336858,4
0.111,0.009799021139997663,0.17359645310203486,4
0.112,0.009973864231548746,0.1750920039342843,4
0.113,0.0101502013889054,0.17658576933665202,4
0.114,0.010328030814504782,0.17807773475384814,4
0.115,0.010507350696243992,0.17956788564889908,4
0.116,0.010688159207498521,0.18105620750328946,4
0.117,0.01087045450714081,0.18254268581710342,4
0.118,0.011054234739558976,0.1840273061091658,4
0.119,0.011239498034675667,0.18551005391718323,4
0.12,0.011426242507967066,0.18699091479788504,4
0.121,0.011614466260482017,0.18846987432716367,4
0.122,0.011804167378861332,0.18994691810021566,4
0.123,0.011995343935357186,0.1914220317316811,4
0.12400000000000003,0.012187993987852684,0.1928952008557845,4
0.125,0.012382115579881572,0.1943664111264741,4
